old_slug,canonical_slug,old_countries,old_types,sample_name_en
lighting-technicians,lighting-technician,1,SOC,Lighting Technicians
management-and-organization-analysts,management-and-organization-analyst,1,CNO,Management and Organization Analysts
managing-directors-and-chief-executives,managing-director-and-chief-executive,1,NCO2015,Managing Directors and Chief Executives
manufacturing-managers,manufacturing-manager,3,CNO|NCO2015|NOC,Manufacturing Managers
marketing-managers,marketing-manager,1,SOC,Marketing Managers
massage-therapists,massage-therapist,2,NOC|SOC,Massage therapists
mathematicians,mathematician,1,SOC,Mathematicians
mechanical-engineers,mechanical-engineer,3,NCO2015|NOC|SOC,Mechanical Engineers
medical-and-pathology-laboratory-technicians,medical-and-pathology-laboratory-technician,1,NCO2015,Medical and Pathology Laboratory Technicians
medical-assistants,medical-assistant,1,SOC,Medical Assistants
medical-laboratory-technologists,medical-laboratory-technologist,1,NOC,Medical laboratory technologists
medical-records-and-health-information-technician,medical-record-and-health-information-technician,1,NCO2015,Medical Records and Health Information Technician
medical-secretaries,medical-secretary,1,SOC,Medical secretaries
merchandisers,merchandiser,1,SOC,Merchandisers
microbiologists,microbiologist,1,SOC,Microbiologists
miners-and-quarriers,miner-and-quarrier,1,NCO2015,Miners and Quarriers
mining-and-metallurgical-technicians,mining-and-metallurgical-technician,1,NCO2015,Mining and Metallurgical Technicians
mining-engineer-metallurgist-and-related-professionals,mining-engineer-metallurgist-and-related-professional,1,CNO,"Mining Engineer, Metallurgist and Related Professionals"
mining-engineers,mining-engineer,1,NOC,Mining engineers
mining-managers,mining-manager,1,NCO2015,Mining Managers
models,model,1,SOC,Models
motor-vehicle-mechanics-and-repairers,motor-vehicle-mechanic-and-repairer,2,CNO|NCO2015,Motor Vehicle Mechanics and Repairers
motorcycle-mechanics,motorcycle-mechanic,1,SOC,Motorcycle Mechanics
musical-instrument-makers-and-tuners,musical-instrument-maker-and-tuner,1,CNO,Musical Instrument Makers and Tuners
musicians,musician,2,KldB|SOC,Musicians
musicians-and-singers,musician-and-singer,2,NOC|SOC,Musicians and singers
neurologists,neurologist,1,SOC,Neurologists
nurse-anesthetists,nurse-anesthetist,1,SOC,Nurse Anesthetists
nursing-assistants,nursing-assistant,1,SOC,Nursing Assistants
nursing-professionals,nursing-professional,1,NCO2015,Nursing Professionals
occupational-health-and-safety-technicians,occupational-health-and-safety-technician,1,SOC,Occupational Health and Safety Technicians
occupational-therapists,occupational-therapist,2,SOC,Occupational therapists
office-managers,office-manager,1,SOC,Office managers
office-supervisors,office-supervisor,1,SOC,Office supervisors
opticians,optician,1,NOC,Opticians
optometrists,optometrist,4,CNO|NOC|SOC,Optometrists
